Страница, с которой настраивается редирект 301;Страница, на которую настраивается редирект
http://www.hostkey.com/2/;http://www.hostkey.com
http://www.hostkey.com/3/;http://www.hostkey.com
http://www.hostkey.com/about/;http://www.hostkey.com/about/about
http://www.hostkey.com/about/licenses/;404
http://www.hostkey.com/about/news/leasingssd/;http://www.hostkey.com/about/news
http://www.hostkey.com/about/news/silvhost/;http://www.hostkey.com/about/news
http://www.hostkey.com/about/partners/advertisement/;https://bill.hostkey.com/clientarea.php
http://www.hostkey.com/about/partners/aup/;http://www.hostkey.com/support/faq
http://www.hostkey.com/about/partners/enter/;https://bill.hostkey.com/clientarea.php
http://www.hostkey.com/about/partners/feedback/;http://www.hostkey.com/about/contacts
http://www.hostkey.com/about/partners/history/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/partners/infopartner/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/partners/profile/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/partners/referral/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/partners/room/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/partners/sendpassword/;https://bill.hostkey.com/clientarea.php
http://www.hostkey.com/about/partners/sponsorship/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/about/press/;http://www.hostkey.com/about/news
http://www.hostkey.com/about/reviews/;https://bill.hostkey.com/pwreset.php
http://www.hostkey.com/about/reviews/detail/;404
http://www.hostkey.com/add/;http://www.hostkey.com/dedicated/service
http://www.hostkey.com/aup/;http://www.hostkey.com/support/faq
http://www.hostkey.com/aupnl/;http://www.hostkey.com/support/faq
http://www.hostkey.com/collocation/;http://www.hostkey.com/solutions/colocation
http://www.hostkey.com/collocation/additional/;http://www.hostkey.com/solutions/colocation
http://www.hostkey.com/collocation/ddos/;http://www.hostkey.com/solutions/ddos-protection
http://www.hostkey.com/collocation/etraffic/;http://www.hostkey.com/solutions/colocation
http://www.hostkey.com/configs/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/contacts/;http://www.hostkey.com/about/contacts/
http://www.hostkey.com/contacts/end/;http://www.hostkey.com/about/contacts/
http://www.hostkey.com/datacenter/;http://www.hostkey.com/about/datacenter
http://www.hostkey.com/datacenter/rules/;http://www.hostkey.com/about/datacenter
http://www.hostkey.com/datacenter/serverius/;http://www.hostkey.com/about/datacenter
http://www.hostkey.com/datacenter/storedata/;http://www.hostkey.com/about/datacenter
http://www.hostkey.com/datacenter/tour/;http://www.hostkey.com/about/datacenter
http://www.hostkey.com/ddos/;http://www.hostkey.com/solutions/ddos-protection
http://www.hostkey.com/ddos/apk/;http://www.hostkey.com/solutions/ddos-protection
http://www.hostkey.com/dedicated/;http://www.hostkey.com/dedicated/service
http://www.hostkey.com/dedicated/additional/;http://www.hostkey.com/dedicated/service
http://www.hostkey.com/dedicated/etraffic/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/euro/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/euro/e5645/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/euro/new/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/euro/newsnl/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/hosting/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Hosting
http://www.hostkey.com/dedicated/micro/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Micro
http://www.hostkey.com/dedicated/microsoft_spla/;http://www.hostkey.com/solutions/software-service
http://www.hostkey.com/dedicated/mini/;http://www.hostkey.com/dedicated/service/netherlands#/type/Mini
http://www.hostkey.com/dedicated/nl-dual/;http://www.hostkey.com/dedicated/service/netherlands#/type/2CPU
http://www.hostkey.com/dedicated/nl-enterprise/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/nl-hosting/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/nl-mini/;http://www.hostkey.com/dedicated/service/netherlands#/type/Mini
http://www.hostkey.com/dedicated/nl-nodes/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/nl-single/;http://www.hostkey.com/dedicated/service/netherlands#/type/1CPU
http://www.hostkey.com/dedicated/nl-storage/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/nl/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/nodes/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/dedicated/ru-dual/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/dedicated/ru-enterprise/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/dedicated/ru-hosting/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Hosting
http://www.hostkey.com/dedicated/ru-micro/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Micro
http://www.hostkey.com/dedicated/ru-mini/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Mini
http://www.hostkey.com/dedicated/ru-nodes/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Nodes
http://www.hostkey.com/dedicated/ru-platform/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Application
http://www.hostkey.com/dedicated/ru-single/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/dedicated/ru-storage/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Storage
http://www.hostkey.com/dedicated/russia/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/dedicated/russia/custom/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Extended
http://www.hostkey.com/dedicated/russia/enterprise/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/dedicated/russia/hosting/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Hosting
http://www.hostkey.com/dedicated/russia/mini/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Mini
http://www.hostkey.com/dedicated/russia/network/;http://www.hostkey.com/about/network
http://www.hostkey.com/dedicated/russia/storage/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Storage
http://www.hostkey.com/dedicated/russia/virtual/;http://www.hostkey.com/dedicated/service/russia?ru#/type/Nodes
http://www.hostkey.com/dedicated/software/;http://www.hostkey.com/solutions/software-service
http://www.hostkey.com/dedicated/storage/;http://www.hostkey.com/dedicated/service
http://www.hostkey.com/exceededtraffic/;http://www.hostkey.com/support/faq
http://www.hostkey.com/helloglobalsign/;http://www.hostkey.com/support/faq
http://www.hostkey.com/hidden/;http://www.hostkey.com/cloud/vps/russia#ru
http://www.hostkey.com/leasingSSD/;http://www.hostkey.com/dedicated/service
http://www.hostkey.com/new/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/options/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/osnl/;https://my.hostkey.com/index.php?/Knowledgebase/Article/View/28/0/install-os-via-ipmi-ipmi
http://www.hostkey.com/payback/;http://www.hostkey.com/support/faq
http://www.hostkey.com/payment/;http://www.hostkey.com/support/faq
http://www.hostkey.com/payment/bill/;http://www.hostkey.com/support/faq
http://www.hostkey.com/payment/cpanel/;https://bill.hostkey.com/clientarea.php
http://www.hostkey.com/payment/cpanel/error/;404
http://www.hostkey.com/payment/cyberplat/;http://www.hostkey.com/support/faq
http://www.hostkey.com/payment/declined/;404
http://www.hostkey.com/payment/invoicesent/;404
http://www.hostkey.com/payment/successful/;404
http://www.hostkey.com/payment/terms/;http://www.hostkey.com/support/faq
http://www.hostkey.com/promopages/backup/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/reselling/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/resellstock/;http://www.hostkey.com/dedicated/sale
http://www.hostkey.com/restoremypassword/;http://www.hostkey.com/support/faq
http://www.hostkey.com/sale1/;http://www.hostkey.com/dedicated/sale
http://www.hostkey.com/search/;http://www.hostkey.com
http://www.hostkey.com/shop/;http://www.hostkey.com/dedicated/service/russia?ru
http://www.hostkey.com/sla/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/sla/remoteadmin/;http://www.hostkey.com/dedicated/service/netherlands
http://www.hostkey.com/speedtest/;http://www.hostkey.com/support/speedtest
http://www.hostkey.com/ssl/;http://www.hostkey.com/web/ssl/symantec
http://www.hostkey.com/support/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/end/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/clients/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/cpu/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/gotodc/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/how_to_set_up_vpn/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/law/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/quality/;http://www.hostkey.com/support/faq
http://www.hostkey.com/support/faq/vat/;http://www.hostkey.com/support/faq
http://www.hostkey.com/vpn/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/vpnnl/;https://my.hostkey.com/index.php?/Knowledgebase/Article/View/30/0/vpn-ipmi
http://www.hostkey.com/vps/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/vps/additional/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/vps/new/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/vps/resellers/;http://www.hostkey.com/about/resellers
http://www.hostkey.com/vps/shop/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/vps/ssd/;http://www.hostkey.com/cloud/vps
http://www.hostkey.com/windowsvps/;http://www.hostkey.com/cloud/vps
;
;
;
;
http://www.hostkey.org ;http://www.hostkey.com
Не забыть про редиректы с hostkey.org,  hostkey.com и т.п.;
Проверить редиректы/переадресацию со следующих доменов;
;
hostbuy.ru;
hostky.ru;
hostki.ru;
hostky.ru;
hostbuy.com;
hostke.com;
hostkey.be;
hostkey.biz;
hostkey.ch;
hostkey.cn;
hostkey.co;
hostkey.co.uk;
hostkey.com;
hostkey.de;
hostkey.es;
hostkey.eu;
hostkey.fr;
hostkey.in;
hostkey.info;
hostkey.it;
hostkey.net;
hostkey.nl;
hostkey.org;
hostkey.pl;
hostkey.ru;
hostki.ru;
hostky.ru;
hostkey.biz;
hostkey.cn;
hostkey.co;
hostkey.de;
hostkey.es;
hostkey.fr;
hostkey.in;
;
